gisaid_epi_isl	analysis_location	included_in_analysis	date
EPI_ISL_418190	newyork	yes	2020-03-16
EPI_ISL_418192	newyork	yes	2020-03-16
EPI_ISL_418193	newyork	yes	2020-03-17
EPI_ISL_415151	newyork	yes	2020-03-04
EPI_ISL_408483	shanghai	no	2020-01-20
EPI_ISL_416316	shanghai	yes	2020-01-25
EPI_ISL_416317	shanghai	yes	2020-01-25
EPI_ISL_416318	shanghai	yes	2020-01-28
EPI_ISL_416319	shanghai	yes	2020-01-28
EPI_ISL_416320	shanghai	yes	2020-01-28
EPI_ISL_416321	shanghai	yes	2020-01-28
EPI_ISL_416322	shanghai	yes	2020-01-29
EPI_ISL_416323	shanghai	yes	2020-01-29
EPI_ISL_416324	shanghai	yes	2020-01-29
EPI_ISL_416325	shanghai	yes	2020-02-02
EPI_ISL_416326	shanghai	yes	2020-01-30
EPI_ISL_416327	shanghai	yes	2020-01-28
EPI_ISL_416328	shanghai	yes	2020-02-01
EPI_ISL_416329	shanghai	yes	2020-02-01
EPI_ISL_416330	shanghai	yes	2020-02-02
EPI_ISL_416331	shanghai	yes	2020-01-30
EPI_ISL_416332	shanghai	yes	2020-01-30
EPI_ISL_416333	shanghai	yes	2020-01-30
EPI_ISL_416334	shanghai	yes	2020-02-06
EPI_ISL_416335	shanghai	yes	2020-02-02
EPI_ISL_416336	shanghai	yes	2020-02-01
EPI_ISL_416337	shanghai	yes	2020-02-04
EPI_ISL_416338	shanghai	yes	2020-02-01
EPI_ISL_416339	shanghai	yes	2020-02-03
EPI_ISL_416340	shanghai	yes	2020-02-02
EPI_ISL_416341	shanghai	yes	2020-02-01
EPI_ISL_416342	shanghai	yes	2020-02-04
EPI_ISL_416343	shanghai	yes	2020-02-04
EPI_ISL_416344	shanghai	yes	2020-01-30
EPI_ISL_416345	shanghai	yes	2020-02-04
EPI_ISL_416346	shanghai	yes	2020-01-30
EPI_ISL_416347	shanghai	yes	2020-02-06
EPI_ISL_416348	shanghai	yes	2020-02-06
EPI_ISL_416349	shanghai	yes	2020-01-30
EPI_ISL_416350	shanghai	yes	2020-01-29
EPI_ISL_416351	shanghai	yes	2020-02-06
EPI_ISL_416352	shanghai	yes	2020-01-30
EPI_ISL_416353	shanghai	yes	2020-02-04
EPI_ISL_416354	shanghai	yes	2020-02-04
EPI_ISL_416355	shanghai	yes	2020-02-04
EPI_ISL_416356	shanghai	yes	2020-02-01
EPI_ISL_416357	shanghai	yes	2020-02-01
EPI_ISL_416358	shanghai	yes	2020-02-05
EPI_ISL_416359	shanghai	yes	2020-02-06
EPI_ISL_416360	shanghai	yes	2020-02-01
EPI_ISL_416361	shanghai	yes	2020-02-01
EPI_ISL_416362	shanghai	yes	2020-02-02
EPI_ISL_416363	shanghai	yes	2020-02-08
EPI_ISL_416364	shanghai	yes	2020-02-08
EPI_ISL_416365	shanghai	yes	2020-01-30
EPI_ISL_416366	shanghai	yes	2020-01-30
EPI_ISL_416367	shanghai	yes	2020-02-01
EPI_ISL_416368	shanghai	yes	2020-02-05
EPI_ISL_416369	shanghai	yes	2020-02-05
EPI_ISL_416370	shanghai	yes	2020-02-01
EPI_ISL_416371	shanghai	yes	2020-02-05
EPI_ISL_416372	shanghai	yes	2020-02-01
EPI_ISL_416373	shanghai	yes	2020-02-07
EPI_ISL_416374	shanghai	yes	2020-02-07
EPI_ISL_416375	shanghai	yes	2020-02-01
EPI_ISL_416376	shanghai	yes	2020-02-05
EPI_ISL_416377	shanghai	yes	2020-02-07
EPI_ISL_416378	shanghai	yes	2020-01-30
EPI_ISL_416379	shanghai	yes	2020-02-01
EPI_ISL_416380	shanghai	yes	2020-02-09
EPI_ISL_416381	shanghai	yes	2020-02-01
EPI_ISL_416382	shanghai	yes	2020-02-08
EPI_ISL_416383	shanghai	yes	2020-02-01
EPI_ISL_416384	shanghai	yes	2020-02-04
EPI_ISL_416385	shanghai	yes	2020-01-30
EPI_ISL_416386	shanghai	yes	2020-01-31
EPI_ISL_416387	shanghai	yes	2020-02-01
EPI_ISL_416388	shanghai	yes	2020-02-05
EPI_ISL_416389	shanghai	yes	2020-01-21
EPI_ISL_416390	shanghai	yes	2020-01-31
EPI_ISL_416391	shanghai	yes	2020-02-02
EPI_ISL_414510	shanghai	yes	2020-02-02
EPI_ISL_416392	shanghai	yes	2020-02-02
EPI_ISL_416393	shanghai	yes	2020-02-09
EPI_ISL_416394	shanghai	yes	2020-02-14
EPI_ISL_416395	shanghai	yes	2020-02-09
EPI_ISL_416396	shanghai	yes	2020-02-10
EPI_ISL_416397	shanghai	yes	2020-02-02
EPI_ISL_416398	shanghai	yes	2020-02-02
EPI_ISL_416399	shanghai	yes	2020-02-13
EPI_ISL_416400	shanghai	yes	2020-02-02
EPI_ISL_416401	shanghai	yes	2020-02-02
EPI_ISL_416402	shanghai	yes	2020-02-11
EPI_ISL_416403	shanghai	yes	2020-02-02
EPI_ISL_416404	shanghai	yes	2020-02-09
EPI_ISL_416405	shanghai	yes	2020-02-02
EPI_ISL_416406	shanghai	yes	2020-02-15
EPI_ISL_416407	shanghai	yes	2020-02-15
EPI_ISL_416408	shanghai	yes	2020-02-12
EPI_ISL_416409	shanghai	yes	2020-02-02
EPI_ISL_416033	unitedkingdom	yes	2020-03-03
EPI_ISL_414040	unitedkingdom	yes	2020-02-05
EPI_ISL_414041	unitedkingdom	yes	2020-02-08
EPI_ISL_414042	unitedkingdom	yes	2020-02-08
EPI_ISL_414043	unitedkingdom	yes	2020-02-07
EPI_ISL_414044	unitedkingdom	yes	2020-02-08
EPI_ISL_414005	unitedkingdom	yes	2020-02-25
EPI_ISL_414008	unitedkingdom	yes	2020-02-27
EPI_ISL_414009	unitedkingdom	yes	2020-02-25
EPI_ISL_414010	unitedkingdom	yes	2020-02-26
EPI_ISL_414522	unitedkingdom	yes	2020-02-28
EPI_ISL_414011	unitedkingdom	yes	2020-02-26
EPI_ISL_415129	unitedkingdom	yes	2020-02-29
EPI_ISL_414523	unitedkingdom	yes	2020-02-27
EPI_ISL_414012	unitedkingdom	yes	2020-02-27
EPI_ISL_414006	unitedkingdom	yes	2020-02-28
EPI_ISL_414007	unitedkingdom	yes	2020-02-28
EPI_ISL_415130	unitedkingdom	yes	2020-03-01
EPI_ISL_415131	unitedkingdom	yes	2020-02-29
EPI_ISL_414524	unitedkingdom	yes	2020-03-01
EPI_ISL_414013	unitedkingdom	yes	2020-03-01
EPI_ISL_415132	unitedkingdom	yes	2020-02-28
EPI_ISL_415133	unitedkingdom	yes	2020-02-29
EPI_ISL_415134	unitedkingdom	yes	2020-02-29
EPI_ISL_415135	unitedkingdom	yes	2020-02-28
EPI_ISL_415136	unitedkingdom	yes	2020-02-29
EPI_ISL_415137	unitedkingdom	yes	2020-03-02
EPI_ISL_415138	unitedkingdom	yes	2020-03-02
EPI_ISL_415139	unitedkingdom	yes	2020-03-01
EPI_ISL_415140	unitedkingdom	yes	2020-02-29
EPI_ISL_415141	unitedkingdom	yes	2020-02-29
EPI_ISL_415142	unitedkingdom	yes	2020-03-02
EPI_ISL_415143	unitedkingdom	yes	2020-03-02
EPI_ISL_415144	unitedkingdom	yes	2020-02-27
EPI_ISL_415145	unitedkingdom	yes	2020-03-01
EPI_ISL_415146	unitedkingdom	yes	2020-03-01
EPI_ISL_415147	unitedkingdom	yes	2020-03-01
EPI_ISL_415148	unitedkingdom	yes	2020-03-03
EPI_ISL_417213	unitedkingdom	yes	2020-03-01
EPI_ISL_415149	unitedkingdom	yes	2020-03-01
EPI_ISL_417214	unitedkingdom	yes	2020-03-02
EPI_ISL_417215	unitedkingdom	yes	2020-02-25
EPI_ISL_417216	unitedkingdom	yes	2020-02-25
EPI_ISL_417217	unitedkingdom	yes	2020-03-01
EPI_ISL_417218	unitedkingdom	yes	2020-03-02
EPI_ISL_417219	unitedkingdom	yes	2020-03-01
EPI_ISL_417220	unitedkingdom	yes	2020-03-03
EPI_ISL_417221	unitedkingdom	yes	2020-03-04
EPI_ISL_417222	unitedkingdom	yes	2020-03-04
EPI_ISL_417223	unitedkingdom	yes	2020-03-02
EPI_ISL_417224	unitedkingdom	yes	2020-03-01
EPI_ISL_417225	unitedkingdom	yes	2020-03-02
EPI_ISL_417226	unitedkingdom	yes	2020-03-02
EPI_ISL_417227	unitedkingdom	yes	2020-03-03
EPI_ISL_414525	unitedkingdom	yes	2020-03-02
EPI_ISL_417228	unitedkingdom	yes	2020-03-03
EPI_ISL_417229	unitedkingdom	yes	2020-03-01
EPI_ISL_417230	unitedkingdom	yes	2020-03-02
EPI_ISL_417231	unitedkingdom	yes	2020-03-03
EPI_ISL_417232	unitedkingdom	yes	2020-03-04
EPI_ISL_417233	unitedkingdom	yes	2020-03-02
EPI_ISL_417234	unitedkingdom	yes	2020-03-02
EPI_ISL_417235	unitedkingdom	yes	2020-03-02
EPI_ISL_414526	unitedkingdom	yes	2020-03-03
EPI_ISL_417236	unitedkingdom	yes	2020-03-01
EPI_ISL_417237	unitedkingdom	yes	2020-03-03
EPI_ISL_417238	unitedkingdom	yes	2020-03-03
EPI_ISL_417239	unitedkingdom	yes	2020-03-03
EPI_ISL_417240	unitedkingdom	yes	2020-03-03
EPI_ISL_417241	unitedkingdom	yes	2020-03-05
EPI_ISL_417242	unitedkingdom	yes	2020-03-03
EPI_ISL_417243	unitedkingdom	yes	2020-03-03
EPI_ISL_417244	unitedkingdom	yes	2020-03-03
EPI_ISL_417245	unitedkingdom	yes	2020-03-02
EPI_ISL_417246	unitedkingdom	yes	2020-03-03
EPI_ISL_417247	unitedkingdom	yes	2020-03-02
EPI_ISL_417248	unitedkingdom	yes	2020-03-03
EPI_ISL_417249	unitedkingdom	yes	2020-03-03
EPI_ISL_417250	unitedkingdom	yes	2020-03-02
EPI_ISL_417251	unitedkingdom	yes	2020-03-03
EPI_ISL_417252	unitedkingdom	yes	2020-03-05
EPI_ISL_417253	unitedkingdom	yes	2020-03-03
EPI_ISL_417254	unitedkingdom	yes	2020-03-04
EPI_ISL_417255	unitedkingdom	yes	2020-03-04
EPI_ISL_417256	unitedkingdom	yes	2020-03-03
EPI_ISL_417257	unitedkingdom	yes	2020-03-03
EPI_ISL_417258	unitedkingdom	yes	2020-03-06
EPI_ISL_417259	unitedkingdom	yes	2020-03-04
EPI_ISL_417260	unitedkingdom	yes	2020-03-05
EPI_ISL_417262	unitedkingdom	yes	2020-03-06
EPI_ISL_418667	unitedkingdom	yes	2020-03-07
EPI_ISL_417263	unitedkingdom	yes	2020-03-06
EPI_ISL_417264	unitedkingdom	yes	2020-03-04
EPI_ISL_417265	unitedkingdom	yes	2020-03-08
EPI_ISL_417266	unitedkingdom	yes	2020-03-05
EPI_ISL_417267	unitedkingdom	yes	2020-03-05
EPI_ISL_417268	unitedkingdom	yes	2020-03-05
EPI_ISL_417269	unitedkingdom	yes	2020-03-05
EPI_ISL_417270	unitedkingdom	yes	2020-03-06
EPI_ISL_417271	unitedkingdom	yes	2020-03-06
EPI_ISL_417272	unitedkingdom	yes	2020-03-06
EPI_ISL_417273	unitedkingdom	yes	2020-03-06
EPI_ISL_417274	unitedkingdom	yes	2020-03-06
EPI_ISL_417275	unitedkingdom	yes	2020-03-06
EPI_ISL_417276	unitedkingdom	yes	2020-03-07
EPI_ISL_417277	unitedkingdom	yes	2020-03-07
EPI_ISL_417278	unitedkingdom	yes	2020-03-07
EPI_ISL_417279	unitedkingdom	yes	2020-03-07
EPI_ISL_417280	unitedkingdom	yes	2020-03-07
EPI_ISL_417281	unitedkingdom	yes	2020-03-06
EPI_ISL_417282	unitedkingdom	yes	2020-03-05
EPI_ISL_417283	unitedkingdom	yes	2020-03-06
EPI_ISL_417284	unitedkingdom	yes	2020-03-07
EPI_ISL_417285	unitedkingdom	yes	2020-03-06
EPI_ISL_417286	unitedkingdom	yes	2020-03-05
EPI_ISL_417287	unitedkingdom	yes	2020-03-06
EPI_ISL_417288	unitedkingdom	yes	2020-03-05
EPI_ISL_417289	unitedkingdom	yes	2020-03-06
EPI_ISL_417290	unitedkingdom	yes	2020-03-06
EPI_ISL_417291	unitedkingdom	yes	2020-03-08
EPI_ISL_417292	unitedkingdom	yes	2020-03-08
EPI_ISL_417293	unitedkingdom	yes	2020-03-08
EPI_ISL_417294	unitedkingdom	yes	2020-03-08
EPI_ISL_417295	unitedkingdom	yes	2020-03-08
EPI_ISL_417296	unitedkingdom	yes	2020-03-06
EPI_ISL_417297	unitedkingdom	yes	2020-03-06
EPI_ISL_417298	unitedkingdom	yes	2020-03-08
EPI_ISL_417299	unitedkingdom	yes	2020-03-08
EPI_ISL_417300	unitedkingdom	yes	2020-03-05
EPI_ISL_417301	unitedkingdom	yes	2020-03-06
EPI_ISL_417302	unitedkingdom	yes	2020-03-05
EPI_ISL_417303	unitedkingdom	yes	2020-03-05
EPI_ISL_417304	unitedkingdom	yes	2020-03-06
EPI_ISL_415150	unitedkingdom	yes	2020-03-09
EPI_ISL_417305	unitedkingdom	yes	2020-03-08
EPI_ISL_417306	unitedkingdom	yes	2020-03-08
EPI_ISL_417307	unitedkingdom	yes	2020-03-08
EPI_ISL_417308	unitedkingdom	yes	2020-03-06
EPI_ISL_417309	unitedkingdom	yes	2020-03-06
EPI_ISL_417310	unitedkingdom	yes	2020-03-07
EPI_ISL_417311	unitedkingdom	yes	2020-03-09
EPI_ISL_417312	unitedkingdom	yes	2020-03-08
EPI_ISL_417313	unitedkingdom	yes	2020-03-08
EPI_ISL_418668	unitedkingdom	yes	2020-03-09
EPI_ISL_417314	unitedkingdom	yes	2020-03-10
EPI_ISL_418669	unitedkingdom	yes	2020-03-11
EPI_ISL_418670	unitedkingdom	yes	2020-03-11
EPI_ISL_417315	unitedkingdom	yes	2020-03-13
EPI_ISL_418671	unitedkingdom	yes	2020-03-13
EPI_ISL_418672	unitedkingdom	yes	2020-03-15
EPI_ISL_418673	unitedkingdom	yes	2020-03-16
EPI_ISL_418674	unitedkingdom	yes	2020-03-16
EPI_ISL_418675	unitedkingdom	yes	2020-03-16
EPI_ISL_418676	unitedkingdom	yes	2020-03-10
EPI_ISL_418677	unitedkingdom	yes	2020-03-15
EPI_ISL_418678	unitedkingdom	yes	2020-03-16
EPI_ISL_418679	unitedkingdom	yes	2020-03-17
EPI_ISL_418680	unitedkingdom	yes	2020-03-17
EPI_ISL_418681	unitedkingdom	yes	2020-03-17
EPI_ISL_418682	unitedkingdom	yes	2020-03-17
EPI_ISL_418683	unitedkingdom	yes	2020-03-17
EPI_ISL_418684	unitedkingdom	yes	2020-03-17
EPI_ISL_418685	unitedkingdom	yes	2020-03-17
EPI_ISL_418686	unitedkingdom	yes	2020-03-17
EPI_ISL_418687	unitedkingdom	yes	2020-03-17
EPI_ISL_418688	unitedkingdom	yes	2020-03-17
EPI_ISL_418689	unitedkingdom	yes	2020-03-17
EPI_ISL_418690	unitedkingdom	yes	2020-03-17
EPI_ISL_418691	unitedkingdom	yes	2020-03-17
EPI_ISL_418692	unitedkingdom	yes	2020-03-17
EPI_ISL_418693	unitedkingdom	yes	2020-03-16
EPI_ISL_418694	unitedkingdom	yes	2020-03-16
EPI_ISL_418695	unitedkingdom	yes	2020-03-16
EPI_ISL_418696	unitedkingdom	yes	2020-03-18
EPI_ISL_418697	unitedkingdom	yes	2020-03-16
EPI_ISL_418698	unitedkingdom	yes	2020-03-17
EPI_ISL_418699	unitedkingdom	yes	2020-03-18
EPI_ISL_418700	unitedkingdom	yes	2020-03-17
EPI_ISL_418701	unitedkingdom	yes	2020-03-17
EPI_ISL_418702	unitedkingdom	yes	2020-03-16
EPI_ISL_418703	unitedkingdom	yes	2020-03-17
EPI_ISL_418704	unitedkingdom	yes	2020-03-17
EPI_ISL_418705	unitedkingdom	yes	2020-03-17
EPI_ISL_418706	unitedkingdom	yes	2020-03-17
EPI_ISL_418707	unitedkingdom	yes	2020-03-17
EPI_ISL_418708	unitedkingdom	yes	2020-03-17
EPI_ISL_418709	unitedkingdom	yes	2020-03-16
EPI_ISL_418710	unitedkingdom	yes	2020-03-16
EPI_ISL_418711	unitedkingdom	yes	2020-03-16
EPI_ISL_418712	unitedkingdom	yes	2020-03-16
EPI_ISL_418713	unitedkingdom	yes	2020-03-17
EPI_ISL_418714	unitedkingdom	yes	2020-03-17
EPI_ISL_418715	unitedkingdom	yes	2020-03-17
EPI_ISL_418716	unitedkingdom	yes	2020-03-17
EPI_ISL_418717	unitedkingdom	yes	2020-03-17
EPI_ISL_418718	unitedkingdom	yes	2020-03-18
EPI_ISL_418719	unitedkingdom	yes	2020-03-18
EPI_ISL_418720	unitedkingdom	yes	2020-03-17
EPI_ISL_418721	unitedkingdom	yes	2020-03-18
EPI_ISL_418722	unitedkingdom	yes	2020-03-17
EPI_ISL_418723	unitedkingdom	yes	2020-03-16
EPI_ISL_418724	unitedkingdom	yes	2020-03-18
EPI_ISL_418725	unitedkingdom	yes	2020-03-18
EPI_ISL_418726	unitedkingdom	yes	2020-03-13
EPI_ISL_418727	unitedkingdom	yes	2020-03-13
EPI_ISL_418728	unitedkingdom	yes	2020-03-18
EPI_ISL_418729	unitedkingdom	yes	2020-03-18
EPI_ISL_418730	unitedkingdom	yes	2020-03-18
EPI_ISL_418731	unitedkingdom	yes	2020-03-13
EPI_ISL_418732	unitedkingdom	yes	2020-03-13
EPI_ISL_418733	unitedkingdom	yes	2020-03-18
EPI_ISL_418734	unitedkingdom	yes	2020-03-13
EPI_ISL_418735	unitedkingdom	yes	2020-03-18
EPI_ISL_418736	unitedkingdom	yes	2020-03-18
EPI_ISL_418737	unitedkingdom	yes	2020-03-17
EPI_ISL_418739	unitedkingdom	yes	2020-03-18
EPI_ISL_418740	unitedkingdom	yes	2020-03-18
EPI_ISL_418741	unitedkingdom	yes	2020-03-18
EPI_ISL_418743	unitedkingdom	yes	2020-03-17
EPI_ISL_418744	unitedkingdom	yes	2020-03-19
EPI_ISL_418745	unitedkingdom	yes	2020-03-18
EPI_ISL_418746	unitedkingdom	yes	2020-03-18
EPI_ISL_418747	unitedkingdom	yes	2020-03-19
EPI_ISL_418748	unitedkingdom	yes	2020-03-18
EPI_ISL_418749	unitedkingdom	yes	2020-03-18
EPI_ISL_418750	unitedkingdom	yes	2020-03-18
EPI_ISL_418751	unitedkingdom	yes	2020-03-18
EPI_ISL_418752	unitedkingdom	yes	2020-03-16
EPI_ISL_418753	unitedkingdom	yes	2020-03-19
EPI_ISL_418754	unitedkingdom	yes	2020-03-17
EPI_ISL_418755	unitedkingdom	yes	2020-03-17
EPI_ISL_418756	unitedkingdom	yes	2020-03-17
EPI_ISL_418757	unitedkingdom	yes	2020-03-18
EPI_ISL_418758	unitedkingdom	yes	2020-03-18
EPI_ISL_418759	unitedkingdom	yes	2020-03-18
EPI_ISL_418760	unitedkingdom	yes	2020-03-19
EPI_ISL_418761	unitedkingdom	yes	2020-03-18
EPI_ISL_418762	unitedkingdom	yes	2020-03-19
EPI_ISL_418763	unitedkingdom	yes	2020-03-17
EPI_ISL_418764	unitedkingdom	yes	2020-03-18
EPI_ISL_418765	unitedkingdom	yes	2020-03-18
EPI_ISL_418766	unitedkingdom	yes	2020-03-18
EPI_ISL_418767	unitedkingdom	yes	2020-03-18
EPI_ISL_418768	unitedkingdom	yes	2020-03-18
EPI_ISL_418769	unitedkingdom	yes	2020-03-18
EPI_ISL_418770	unitedkingdom	yes	2020-03-18
EPI_ISL_416730	unitedkingdom	yes	2020-03-03
EPI_ISL_416731	unitedkingdom	yes	2020-03-03
EPI_ISL_416732	unitedkingdom	yes	2020-03-03
EPI_ISL_416733	unitedkingdom	yes	2020-03-07
EPI_ISL_416734	unitedkingdom	yes	2020-03-09
EPI_ISL_416735	unitedkingdom	yes	2020-03-09
EPI_ISL_416736	unitedkingdom	yes	2020-03-09
EPI_ISL_416737	unitedkingdom	yes	2020-03-03
EPI_ISL_416738	unitedkingdom	yes	2020-03-09
EPI_ISL_416739	unitedkingdom	yes	2020-03-09
EPI_ISL_416740	unitedkingdom	yes	2020-03-03
EPI_ISL_418286	unitedkingdom	yes	2020-03-18
EPI_ISL_418287	unitedkingdom	yes	2020-03-16
EPI_ISL_418288	unitedkingdom	yes	2020-03-18
EPI_ISL_418289	unitedkingdom	yes	2020-03-18
EPI_ISL_418290	unitedkingdom	yes	2020-03-18
EPI_ISL_418291	unitedkingdom	yes	2020-03-16
EPI_ISL_418292	unitedkingdom	yes	2020-03-18
EPI_ISL_418293	unitedkingdom	yes	2020-03-16
EPI_ISL_418294	unitedkingdom	yes	2020-03-18
EPI_ISL_418295	unitedkingdom	yes	2020-03-17
EPI_ISL_418296	unitedkingdom	yes	2020-03-18
EPI_ISL_418297	unitedkingdom	yes	2020-03-17
EPI_ISL_418298	unitedkingdom	yes	2020-03-16
EPI_ISL_418299	unitedkingdom	yes	2020-03-18
EPI_ISL_418300	unitedkingdom	yes	2020-03-15
EPI_ISL_418301	unitedkingdom	yes	2020-03-05
EPI_ISL_418302	unitedkingdom	yes	2020-03-24
EPI_ISL_418303	unitedkingdom	yes	2020-03-25
EPI_ISL_418304	unitedkingdom	yes	2020-03-24
EPI_ISL_418305	unitedkingdom	yes	2020-03-25
EPI_ISL_418306	unitedkingdom	yes	2020-03-25
EPI_ISL_418307	unitedkingdom	yes	2020-03-24
EPI_ISL_418308	unitedkingdom	yes	2020-03-25
EPI_ISL_418309	unitedkingdom	yes	2020-03-25
EPI_ISL_418310	unitedkingdom	yes	2020-03-25
EPI_ISL_418311	unitedkingdom	yes	2020-03-25
EPI_ISL_418312	unitedkingdom	yes	2020-03-25
EPI_ISL_418313	unitedkingdom	yes	2020-03-24
EPI_ISL_418314	unitedkingdom	yes	2020-03-25
EPI_ISL_418315	unitedkingdom	yes	2020-03-25
EPI_ISL_418316	unitedkingdom	yes	2020-03-25
EPI_ISL_418317	unitedkingdom	yes	2020-03-23
EPI_ISL_418318	unitedkingdom	yes	2020-03-25
EPI_ISL_418319	unitedkingdom	yes	2020-03-25
EPI_ISL_418320	unitedkingdom	yes	2020-03-25
EPI_ISL_418321	unitedkingdom	yes	2020-03-25
EPI_ISL_414500	unitedkingdom	yes	2020-03-04
EPI_ISL_414501	unitedkingdom	yes	2020-03-03
EPI_ISL_417783	unitedkingdom	yes	2020-03-11
EPI_ISL_417727	unitedkingdom	yes	2020-03-12
EPI_ISL_417788	unitedkingdom	yes	2020-03-12
EPI_ISL_417793	unitedkingdom	yes	2020-03-13
EPI_ISL_417825	unitedkingdom	yes	2020-03-16
EPI_ISL_417831	unitedkingdom	yes	2020-03-16
EPI_ISL_417754	unitedkingdom	yes	2020-03-16
EPI_ISL_417561	unitedkingdom	yes	2020-03-17
EPI_ISL_417563	unitedkingdom	yes	2020-03-16
EPI_ISL_417567	unitedkingdom	yes	2020-03-17
EPI_ISL_417570	unitedkingdom	yes	2020-03-17
EPI_ISL_417576	unitedkingdom	yes	2020-03-17
EPI_ISL_417584	unitedkingdom	yes	2020-03-17
EPI_ISL_417585	unitedkingdom	yes	2020-03-17
EPI_ISL_417595	unitedkingdom	yes	2020-03-17
EPI_ISL_417663	unitedkingdom	yes	2020-03-14
EPI_ISL_417666	unitedkingdom	yes	2020-03-15
EPI_ISL_417672	unitedkingdom	yes	2020-03-16
EPI_ISL_417845	unitedkingdom	yes	2020-03-13
EPI_ISL_414949	unitedkingdom	yes	2020-02-26
EPI_ISL_413221	unitedkingdom	yes	2020-03-02
EPI_ISL_414024	unitedkingdom	yes	2020-03-02
EPI_ISL_414025	unitedkingdom	yes	2020-03-01
EPI_ISL_414026	unitedkingdom	yes	2020-03-04
EPI_ISL_414027	unitedkingdom	yes	2020-03-04
EPI_ISL_415628	unitedkingdom	yes	2020-03-07
EPI_ISL_415630	unitedkingdom	yes	2020-03-09
EPI_ISL_415631	unitedkingdom	yes	2020-03-10
EPI_ISL_415640	unitedkingdom	yes	2020-03-08
EPI_ISL_415629	unitedkingdom	yes	2020-03-04
EPI_ISL_415632	unitedkingdom	yes	2020-03-07
EPI_ISL_415633	unitedkingdom	yes	2020-03-09
EPI_ISL_415634	unitedkingdom	yes	2020-03-06
EPI_ISL_415635	unitedkingdom	yes	2020-03-09
EPI_ISL_415636	unitedkingdom	yes	2020-03-06
EPI_ISL_415637	unitedkingdom	yes	2020-03-04
EPI_ISL_415638	unitedkingdom	yes	2020-03-07
EPI_ISL_415639	unitedkingdom	yes	2020-03-10
EPI_ISL_414486	unitedkingdom	yes	2020-03-07
EPI_ISL_415041	unitedkingdom	yes	2020-03-07
EPI_ISL_414488	unitedkingdom	yes	2020-03-08
EPI_ISL_415435	unitedkingdom	yes	2020-03-06
EPI_ISL_415977	unitedkingdom	yes	2020-03-08
EPI_ISL_415978	unitedkingdom	yes	2020-03-08
EPI_ISL_413555	unitedkingdom	yes	2020-02-27
EPI_ISL_415453	unitedkingdom	yes	2020-03-10
EPI_ISL_415536	unitedkingdom	yes	2020-03-10
EPI_ISL_415537	unitedkingdom	yes	2020-03-08
EPI_ISL_416027	unitedkingdom	yes	2020-03-09
EPI_ISL_415991	unitedkingdom	yes	2020-03-09
EPI_ISL_413556	unitedkingdom	yes	2020-03-04
EPI_ISL_416026	unitedkingdom	yes	2020-03-11
EPI_ISL_415916	unitedkingdom	yes	2020-03-11
EPI_ISL_415918	unitedkingdom	yes	2020-03-11
EPI_ISL_415655	unitedkingdom	yes	2020-03-12
EPI_ISL_415659	unitedkingdom	yes	2020-03-12
EPI_ISL_415919	unitedkingdom	yes	2020-03-11
EPI_ISL_415920	unitedkingdom	yes	2020-03-12
EPI_ISL_415656	unitedkingdom	yes	2020-03-12
EPI_ISL_416024	unitedkingdom	yes	2020-03-11
EPI_ISL_415657	unitedkingdom	yes	2020-03-12
EPI_ISL_415538	unitedkingdom	yes	2020-03-12
EPI_ISL_418083	unitedkingdom	yes	2020-03-10
EPI_ISL_418084	unitedkingdom	yes	2020-03-12
EPI_ISL_418085	unitedkingdom	yes	2020-03-12
EPI_ISL_418086	unitedkingdom	yes	2020-03-12
EPI_ISL_418087	unitedkingdom	yes	2020-03-12
EPI_ISL_418088	unitedkingdom	yes	2020-03-12
EPI_ISL_418089	unitedkingdom	yes	2020-03-12
EPI_ISL_418090	unitedkingdom	yes	2020-03-12
EPI_ISL_418091	unitedkingdom	yes	2020-03-12
EPI_ISL_418092	unitedkingdom	yes	2020-03-12
EPI_ISL_418093	unitedkingdom	yes	2020-03-12
EPI_ISL_418094	unitedkingdom	yes	2020-03-12
EPI_ISL_418095	unitedkingdom	yes	2020-03-12
EPI_ISL_418096	unitedkingdom	yes	2020-03-12
EPI_ISL_418097	unitedkingdom	yes	2020-03-12
EPI_ISL_418098	unitedkingdom	yes	2020-03-13
EPI_ISL_418099	unitedkingdom	yes	2020-03-13
EPI_ISL_418100	unitedkingdom	yes	2020-03-14
EPI_ISL_418101	unitedkingdom	yes	2020-03-15
EPI_ISL_418102	unitedkingdom	yes	2020-03-15
EPI_ISL_418103	unitedkingdom	yes	2020-03-15
EPI_ISL_418104	unitedkingdom	yes	2020-03-15
EPI_ISL_418105	unitedkingdom	yes	2020-03-15
EPI_ISL_418106	unitedkingdom	yes	2020-03-13
EPI_ISL_418107	unitedkingdom	yes	2020-03-13
EPI_ISL_418108	unitedkingdom	yes	2020-03-13
EPI_ISL_418109	unitedkingdom	yes	2020-03-12
EPI_ISL_418110	unitedkingdom	yes	2020-03-13
EPI_ISL_418111	unitedkingdom	yes	2020-03-13
EPI_ISL_418112	unitedkingdom	yes	2020-03-13
EPI_ISL_418113	unitedkingdom	yes	2020-03-13
EPI_ISL_418114	unitedkingdom	yes	2020-03-13
EPI_ISL_418115	unitedkingdom	yes	2020-03-13
EPI_ISL_418116	unitedkingdom	yes	2020-03-13
EPI_ISL_418117	unitedkingdom	yes	2020-03-14
